name, block size, decode steps, method, min error, max error, avg error
random_103x96_f32, 4x4x1, [0, 0, 0], standard, 0.0008965730667114258, 0.0008965730667114258, 0.0008965730667114258
random_103x96_f32, 4x4x1, [0, 1, 0], standard, 0.0032196640968322754, 0.004368305206298828, 0.0037939846515655518
random_103x96_f32, 4x4x1, [0, 2, 0], standard, 0.0026284456253051758, 0.0061081647872924805, 0.004694660194218159
random_103x96_f32, 4x4x1, [0, 3, 0], standard, 0.0002868771553039551, 0.02822721004486084, 0.011477461084723473
random_103x96_f32, 4x4x1, [0, 4, 0], standard, 0.0010254383087158203, 0.0364951491355896, 0.01431996375322342
random_103x96_f32, 4x4x1, [0, 5, 0], standard, 0.0001850724220275879, 0.03695306181907654, 0.015364011749625206
random_103x96_f32, 4x4x1, [0, 6, 0], standard, 0.00006252527236938477, 0.03731963038444519, 0.015450550243258476
random_103x96_f32, 4x4x1, [0, 7, 0], standard, 0.00021415948867797852, 0.04011201858520508, 0.015615828335285187
random_103x96_f32, 4x4x1, [1, 0, 0], standard, 0.002268373966217041, 0.004473954439163208, 0.0033711642026901245
random_103x96_f32, 4x4x1, [1, 1, 0], standard, 0.00000011920928955078125, 0.014726519584655762, 0.008116006851196289
random_103x96_f32, 4x4x1, [1, 2, 0], standard, 0, 0.010504961013793945, 0.004837661981582642
random_103x96_f32, 4x4x1, [1, 3, 0], standard, 0, 0.05101630091667175, 0.011375673115253448
random_103x96_f32, 4x4x1, [1, 4, 0], standard, 0, 0.06391933560371399, 0.013160145841538906
random_103x96_f32, 4x4x1, [1, 5, 0], standard, 0, 0.07205426692962646, 0.014984517358243465
random_103x96_f32, 4x4x1, [1, 6, 0], standard, 0.00010979175567626953, 0.08937641978263855, 0.0193190798163414
random_103x96_f32, 4x4x1, [1, 7, 0], standard, 0.000014483928680419922, 0.1293313205242157, 0.02385367453098297
random_103x96_f32, 4x4x1, [2, 0, 0], standard, 0.0000883936882019043, 0.011803627014160156, 0.005481928586959839
random_103x96_f32, 4x4x1, [2, 1, 0], standard, 0.00000005960464477539063, 0.04053622484207153, 0.009168412536382675
random_103x96_f32, 4x4x1, [2, 2, 0], standard, 0, 0.030231773853302002, 0.004851959645748138
random_103x96_f32, 4x4x1, [2, 3, 0], standard, 0, 0.0708860456943512, 0.009449866600334644
random_103x96_f32, 4x4x1, [2, 4, 0], standard, 0, 0.0883474349975586, 0.009798644110560417
random_103x96_f32, 4x4x1, [2, 5, 0], standard, 0, 0.11380529403686523, 0.011220036074519157
random_103x96_f32, 4x4x1, [2, 6, 0], standard, 0.00011307001113891602, 0.1817995309829712, 0.023958375677466393
